Owner,Project Name,URL,Stars
oven-sh,bun,https://github.com/oven-sh/bun,"87,249"
appwrite,appwrite,https://github.com/appwrite/appwrite,"54,745"
actualbudget,actual,https://github.com/actualbudget/actual,"24,889"
dubinc,dub,https://github.com/dubinc/dub,"23,041"
tikv,tikv,https://github.com/tikv/tikv,"16,521"
documenso,documenso,https://github.com/documenso/documenso,"12,386"
voxel51,fiftyone,https://github.com/voxel51/fiftyone,"10,364"
ace-step,ACE-Step-1.5,https://github.com/ace-step/ACE-Step-1.5,"5,330"
inference-labs-inc,subnet-2,https://github.com/inference-labs-inc/subnet-2,"2,112"
pelican-dev,panel,https://github.com/pelican-dev/panel,"1,878"
HolmesGPT,holmesgpt,https://github.com/HolmesGPT/holmesgpt,"1,847"
npmx-dev,npmx.dev,https://github.com/npmx-dev/npmx.dev,"1,761"
superset-sh,superset,https://github.com/superset-sh/superset,"1,504"
selfxyz,self,https://github.com/selfxyz/self,"1,232"
ComposeGears,Valkyrie,https://github.com/ComposeGears/Valkyrie,807
hkjarral,Asterisk-AI-Voice-Agent,https://github.com/hkjarral/Asterisk-AI-Voice-Agent,752
NVIDIA,bionemo-framework,https://github.com/NVIDIA/bionemo-framework,659
vybestack,llxprt-code,https://github.com/vybestack/llxprt-code,632
PrairieLearn,PrairieLearn,https://github.com/PrairieLearn/PrairieLearn,441
OWASP,Nest,https://github.com/OWASP/Nest,371
ohcnetwork,care,https://github.com/ohcnetwork/care,354
MFlowCode,MFC,https://github.com/MFlowCode/MFC,314
wso2,product-microgateway,https://github.com/wso2/product-microgateway,307
DefiLlama,defillama-app,https://github.com/DefiLlama/defillama-app,280
MostroP2P,mostro,https://github.com/MostroP2P/mostro,271
PalisadoesFoundation,talawa-admin,https://github.com/PalisadoesFoundation/talawa-admin,250
walt-id,waltid-identity,https://github.com/walt-id/waltid-identity,250
FAForever,fa,https://github.com/FAForever/fa,248
metaplex-foundation,shank,https://github.com/metaplex-foundation/shank,221
DefiLlama,defillama-server,https://github.com/DefiLlama/defillama-server,215
joshuadavidthomas,django-language-server,https://github.com/joshuadavidthomas/django-language-server,167
suitenumerique,messages,https://github.com/suitenumerique/messages,152
hrzlgnm,mdns-browser,https://github.com/hrzlgnm/mdns-browser,147
receptron,MulmoChat,https://github.com/receptron/MulmoChat,143
PasarGuard,node,https://github.com/PasarGuard/node,132
rohitg00,awesome-openclaw,https://github.com/rohitg00/awesome-openclaw,132
KiiChain,kiichain,https://github.com/KiiChain/kiichain,123
metaplex-foundation,mpl-core,https://github.com/metaplex-foundation/mpl-core,92
submariner-io,shipyard,https://github.com/submariner-io/shipyard,70
Jadhielv,ITL,https://github.com/Jadhielv/ITL,68
Nakajima-Foundation,ownplate,https://github.com/Nakajima-Foundation/ownplate,63
ChuckBuilds,LEDMatrix,https://github.com/ChuckBuilds/LEDMatrix,57
delmic,odemis,https://github.com/delmic/odemis,51
rosettadb,rosetta,https://github.com/rosettadb/rosetta,39
4DNucleome,PartSeg,https://github.com/4DNucleome/PartSeg,35
svehera,tacticusplanner,https://github.com/svehera/tacticusplanner,33
holochain,hc-spin,https://github.com/holochain/hc-spin,29
exactly,exa,https://github.com/exactly/exa,22
LerianStudio,tracer,https://github.com/LerianStudio/tracer,20
gyliu513,langX101,https://github.com/gyliu513/langX101,15
YAPP-admin,yappu-world-android,https://github.com/YAPP-admin/yappu-world-android,13
straw-hat-team,beam-monorepo,https://github.com/straw-hat-team/beam-monorepo,12
icegatetech,icegate,https://github.com/icegatetech/icegate,10
defuse-protocol,one-click-sdk-typescript,https://github.com/defuse-protocol/one-click-sdk-typescript,10
perplext,LLMrecon,https://github.com/perplext/LLMrecon,10
cppalliance,corosio,https://github.com/cppalliance/corosio,9
trustyai-explainability,trustyai-service-operator,https://github.com/trustyai-explainability/trustyai-service-operator,9
konveyor,tackle2-hub,https://github.com/konveyor/tackle2-hub,9
filippolmt,terraform-oci-free-tier,https://github.com/filippolmt/terraform-oci-free-tier,9
csg-org,CompactConnect,https://github.com/csg-org/CompactConnect,8
ApolloAutomation,docs,https://github.com/ApolloAutomation/docs,8
relative-ci,agent,https://github.com/relative-ci/agent,7
ruska-ai,orchestra,https://github.com/ruska-ai/orchestra,7
data-mermaid,mermaid-webapp,https://github.com/data-mermaid/mermaid-webapp,6
gruntwork-io,runbooks,https://github.com/gruntwork-io/runbooks,6
carlos-emr,carlos,https://github.com/carlos-emr/carlos,5
